task_id,route,model_decision,model_decision_raw,valid_format,p_defer,p_self,score,margin,logp_self,logp_defer,self_passed,prediction,reference,expert_passed,expert_available,expert_has_answer,answer_len
hendrycks_math/test/000000,post_self,self,self,1,0.09497107514700584,0.9050289248529941,0.9050289248529941,-2.25439453125,-0.10498046875,-2.359375,1,2,2,,0,0,1196
hendrycks_math/test/000001,post_self,self,self,1,0.005264047298886369,0.9947359527011136,0.9947359527011136,-5.2415771484375,-0.0084228515625,-5.25,1,10,10,,0,0,349
hendrycks_math/test/000002,post_defer,defer,defer,1,0.9398305676215932,0.06016943237840677,0.06016943237840677,2.74853515625,-2.8125,-0.06396484375,0,2+\frac{3}{7},\frac{9}{7},,0,0,2076
hendrycks_math/test/000003,post_self,self,self,1,0.2697101295716962,0.7302898704283038,0.7302898704283038,-0.99609375,-0.31640625,-1.3125,1,i,i,,0,0,1202
hendrycks_math/test/000004,post_self,self,self,1,0.001938330489968434,0.9980616695100316,0.9980616695100316,-6.243988037109375,-0.006011962890625,-6.25,1,4,4,,0,0,541
hendrycks_math/test/000005,post_self,self,self,1,0.022889840112388902,0.9771101598876111,0.9771101598876111,-3.75390625,-0.02734375,-3.78125,1,402,402,,0,0,621
hendrycks_math/test/000006,post_self,self,self,1,0.1480471980316895,0.8519528019683105,0.8519528019683105,-1.75,-0.1640625,-1.9140625,1,"[-2,7]","[-2,7]",,0,0,1838
hendrycks_math/test/000007,post_self,self,self,1,0.11992252200191786,0.8800774779980821,0.8800774779980821,-1.9931640625,-0.1318359375,-2.125,1,7,7,,0,0,1001
hendrycks_math/test/000008,post_defer,defer,defer,1,0.679178699175393,0.320821300824607,0.320821300824607,0.75,-1.140625,-0.390625,0,"19,20,21,29","4,6,14,15",,0,0,919
hendrycks_math/test/000009,post_self,self,self,1,0.2697101295716962,0.7302898704283038,0.7302898704283038,-0.99609375,-0.31640625,-1.3125,1,-\frac{1}{8},-\frac{1}{8},,0,0,1670
hendrycks_math/test/000010,post_self,self,self,1,0.11981949276047273,0.8801805072395272,0.8801805072395272,-1.994140625,-0.130859375,-2.125,1,\frac{x+2}{7},\frac{x+2}{7},,0,0,682
hendrycks_math/test/000011,post_self,self,self,1,0.11981949276047273,0.8801805072395272,0.8801805072395272,-1.994140625,-0.130859375,-2.125,0,-21,-15,,0,0,906
hendrycks_math/test/000012,post_self,self,self,1,0.008678241770413528,0.9913217582295865,0.9913217582295865,-4.73822021484375,-0.01177978515625,-4.75,1,10,10,,0,0,710
hendrycks_math/test/000013,post_self,self,self,1,0.017812396317538847,0.9821876036824612,0.9821876036824612,-4.0098876953125,-0.0213623046875,-4.03125,1,8,8,,0,0,812
hendrycks_math/test/000014,post_defer,defer,defer,1,0.7779753192320792,0.2220246807679208,0.2220246807679208,1.25390625,-1.5078125,-0.25390625,1,75,75,,0,0,2113
hendrycks_math/test/000015,post_self,self,self,1,0.11971653999396704,0.880283460006033,0.880283460006033,-1.9951171875,-0.1298828125,-2.125,1,5.5,\frac{11}{2},,0,0,935
hendrycks_math/test/000016,post_self,self,self,1,0.005268523600108692,0.9947314763998913,0.9947314763998913,-5.24072265625,-0.00927734375,-5.25,1,-25,-25,,0,0,534
hendrycks_math/test/000017,post_defer,defer,defer,1,0.7302898704283038,0.26971012957169616,0.26971012957169616,0.99609375,-1.3125,-0.31640625,1,8,8,,0,0,1852
hendrycks_math/test/000018,post_self,self,self,1,0.18271700617352163,0.8172829938264784,0.8172829938264784,-1.498046875,-0.205078125,-1.703125,1,3,3,,0,0,724
hendrycks_math/test/000019,post_self,self,self,1,0.06027997470983279,0.9397200252901672,0.9397200252901672,-2.74658203125,-0.06591796875,-2.8125,1,187.5,187.5,,0,0,622
hendrycks_math/test/000020,post_defer,defer,,0,0.999941378724905,5.862127509503878e-05,5.862127509503878e-05,9.744354248046875,-9.75,-0.005645751953125,0,16,18,,0,0,2324
hendrycks_math/test/000021,post_self,self,defer,1,0.4378234991142019,0.5621765008857982,0.5621765008857982,-0.25,-0.578125,-0.828125,0,Finalanswer:40,40,,0,0,776
hendrycks_math/test/000022,post_self,self,self,1,0.013883662834172876,0.9861163371658271,0.9861163371658271,-4.2630615234375,-0.0181884765625,-4.28125,1,5,5,,0,0,459
hendrycks_math/test/000023,post_self,self,self,1,0.222362226659299,0.7776377733407009,0.7776377733407009,-1.251953125,-0.255859375,-1.5078125,0,7.97,8,,0,0,790
hendrycks_math/test/000024,post_self,self,self,1,0.011142552908836801,0.9888574470911632,0.9888574470911632,-4.48577880859375,-0.01422119140625,-4.5,1,3125,3125,,0,0,425
hendrycks_math/test/000025,post_self,self,self,1,0.2681740995451041,0.7318259004548959,0.7318259004548959,-1.00390625,-0.31640625,-1.3203125,0,"[0,∞)","[0,\infty)",,0,0,1067
hendrycks_math/test/000026,post_self,self,self,1,0.06027997470983279,0.9397200252901672,0.9397200252901672,-2.74658203125,-0.06591796875,-2.8125,1,\frac{1}{2},0.5,,0,0,1066
hendrycks_math/test/000027,post_defer,defer,defer,1,0.9239361826181752,0.07606381738182477,0.07606381738182477,2.4970703125,-2.578125,-0.0810546875,0,6,"12,10,6",,0,0,2145
hendrycks_math/test/000028,post_self,self,self,1,0.07626996618067049,0.9237300338193295,0.9237300338193295,-2.494140625,-0.083984375,-2.578125,1,5,5,,0,0,1124
hendrycks_math/test/000029,post_defer,defer,defer,1,0.6224593312018546,0.3775406687981454,0.3775406687981454,0.5,-0.9765625,-0.4765625,0,-16,16,,0,0,840
hendrycks_math/test/000030,post_defer,defer,defer,1,0.9523973431900807,0.047602656809919264,0.047602656809919264,2.99609375,-3.046875,-0.05078125,0,-1097.5,2300,,0,0,1054
hendrycks_math/test/000031,post_self,self,self,1,0.022889840112388902,0.9771101598876111,0.9771101598876111,-3.75390625,-0.02734375,-3.78125,1,5,5,,0,0,1433
hendrycks_math/test/000032,post_self,self,self,1,0.3779997700846973,0.6220002299153027,0.6220002299153027,-0.498046875,-0.478515625,-0.9765625,0,147,105,,0,0,1741
hendrycks_math/test/000033,post_defer,defer,defer,1,0.8174287801882275,0.1825712198117725,0.1825712198117725,1.4990234375,-1.703125,-0.2041015625,1,-13.5,-13.5,,0,0,2009
hendrycks_math/test/000034,post_self,self,self,1,0.32082130082460697,0.679178699175393,0.679178699175393,-0.75,-0.390625,-1.140625,0,\frac{81}{2125},\frac{243}{625},,0,0,1436
hendrycks_math/test/000035,post_self,self,self,1,0.004103425539138577,0.9958965744608614,0.9958965744608614,-5.4918212890625,-0.0081787109375,-5.5,1,2,2,,0,0,532
hendrycks_math/test/000036,post_defer,defer,defer,1,0.7318259004548959,0.26817409954510407,0.26817409954510407,1.00390625,-1.3203125,-0.31640625,1,"(-\sqrt{3},\sqrt{3})","(-\sqrt{3},\sqrt{3})",,0,0,1446
hendrycks_math/test/000037,post_self,self,self,1,0.32082130082460697,0.679178699175393,0.679178699175393,-0.75,-0.390625,-1.140625,0,13,23,,0,0,992
hendrycks_math/test/000038,post_self,self,self,1,0.1480471980316895,0.8519528019683105,0.8519528019683105,-1.75,-0.1640625,-1.9140625,1,49,49,,0,0,1455
hendrycks_math/test/000039,post_self,self,self,1,0.18271700617352163,0.8172829938264784,0.8172829938264784,-1.498046875,-0.205078125,-1.703125,1,2x^9-8x^7+9x^6-16x^5-12x^4+9x^3-24x^2,2x^9-8x^7+9x^6-16x^5-12x^4+9x^3-24x^2,,0,0,1191
hendrycks_math/test/000040,post_self,self,self,1,0.09488717126057673,0.9051128287394232,0.9051128287394232,-2.25537109375,-0.10400390625,-2.359375,1,"(-\infty,-8)\cup(8,\infty)","(-\infty,-8)\cup(8,\infty)",,0,0,1574
hendrycks_math/test/000041,post_self,self,self,1,0.003192821490997013,0.996807178509003,0.996807178509003,-5.74365234375,-0.00634765625,-5.75,1,0,0,,0,0,524
hendrycks_math/test/000042,post_self,self,self,1,0.03715182619419953,0.9628481738058005,0.9628481738058005,-3.2548828125,-0.0419921875,-3.296875,1,2,2,,0,0,707
hendrycks_math/test/000043,post_self,self,self,1,0.14817041344298693,0.8518295865570131,0.8518295865570131,-1.7490234375,-0.1650390625,-1.9140625,1,16,16,,0,0,1211
hendrycks_math/test/000044,post_self,self,self,1,0.03715182619419953,0.9628481738058005,0.9628481738058005,-3.2548828125,-0.0419921875,-3.296875,1,\frac{1}{12},\frac{1}{12},,0,0,634
hendrycks_math/test/000045,post_self,self,self,1,0.222362226659299,0.7776377733407009,0.7776377733407009,-1.251953125,-0.255859375,-1.5078125,1,6+9i,6+9i,,0,0,232
hendrycks_math/test/000046,post_self,self,self,1,0.017827351917681068,0.982172648082319,0.982172648082319,-4.009033203125,-0.022216796875,-4.03125,1,2,2,,0,0,458
hendrycks_math/test/000047,post_self,self,self,1,0.09501305198790386,0.9049869480120961,0.9049869480120961,-2.25390625,-0.10546875,-2.359375,1,20,20,,0,0,967
hendrycks_math/test/000048,post_self,self,self,1,0.022889840112388902,0.9771101598876111,0.9771101598876111,-3.75390625,-0.02734375,-3.78125,1,7(x+3)(x-3),7(x+3)(x-3),,0,0,546
hendrycks_math/test/000049,post_self,self,self,1,0.03715182619419953,0.9628481738058005,0.9628481738058005,-3.2548828125,-0.0419921875,-3.296875,1,y^4-2y^3+7y^2+y-5,y^4-2y^3+7y^2+y-5,,0,0,608
hendrycks_math/test/000050,post_defer,defer,defer,1,0.8520759327094793,0.14792406729052066,0.14792406729052066,1.7509765625,-1.9140625,-0.1630859375,0,8,4,,0,0,1241
hendrycks_math/test/000051,post_self,self,self,1,0.222362226659299,0.7776377733407009,0.7776377733407009,-1.251953125,-0.255859375,-1.5078125,1,0,0,,0,0,527
